IDBASE;TYPE EMPLACEMENT;DOMANIALITE;ARRONDISSEMENT;COMPLEMENT ADRESSE;NUMERO;LIEU / ADRESSE;IDEMPLACEMENT;LIBELLE FRANCAIS;GENRE;ESPECE;VARIETE OUCULTIVAR;CIRCONFERENCE (cm);HAUTEUR (m);STADE DE DEVELOPPEMENT;REMARQUABLE;geo_point_2d
2019600;Arbre;Jardin;BOIS DE VINCENNES;;;ECOLE DU BREUIL / ROUTE DE LA FERME;50030005;Platane;Platanus;x hispanica;;535;28;Adulte;NON;48.82374974775363,2.458381164445581
113239;Arbre;Jardin;PARIS 20E ARRDT;;;SQUARE DE LA PAIX / 128 RUE DE LAGNY;000107003;Platane;Platanus;x hispanica;;145;15;Adulte;NON;48.84893862821471,2.415540498067856
100702;Arbre;Jardin;PARIS 12E ARRDT;;;PARC DE BERCY;00000254;Platane;Platanus;x hispanica;;270;15;;;48.8338864879921,2.384733636402175
107445;Arbre;Jardin;PARIS 7E ARRDT;Canton 04;;JARDIN DU CHAMP DE MARS ET PELOUSES DE L ECOLE MILITAIRE / AVENUE PIERRE LOTI;A00401007;Platane;Platanus;x hispanica;;233;10;Jeune (arbre)Adulte;NON;48.8572291680398,2.295576307933885
133205;Arbre;Jardin;PARIS 15E ARRDT;;;SQUARE DE LA PLACE DU COMMERCE;00000043;Platane;Platanus;x hispanica;;120;0;;;48.84501943213366,2.293208160393354
118715;Arbre;Jardin;PARIS 12E ARRDT;;;SQUARE ALBERT TOURNAIRE / 2 PLACE MAZAS;000101011;Platane;Platanus;x hispanica;;204;20;;NON;48.84499379940654,2.367937406188365
118811;Arbre;Jardin;PARIS 7E ARRDT;;;SQUARE BOUCICAUT;00000050;Platane;Platanus;x hispanica;;188;15;;;48.85115513582103,2.325491157717327
117661;Arbre;Jardin;PARIS 11E ARRDT;;;SQUARE PASDELOUP;00000001;Platane;Platanus;orientalis;;75;12;;;48.862969228343054,2.3669884843645
108040;Arbre;Jardin;PARIS 20E ARRDT;;;RUE ALBERT WILLEMETZ;000101007;Platane;Platanus;x hispanica;;110;14;Adulte;NON;48.847810602786716,2.415375862841485
138692;Arbre;Jardin;PARIS 18E ARRDT;;;SQUARE CHARLES HERMITE;00000013;Platane;Platanus;x hispanica;;220;19;Adulte;NON;48.90015819994382,2.366988103559446
293623;Arbre;Jardin;PARIS 4E ARRDT;;;PARC DES RIVES DE SEINE / 1 W QUAI HENRI IV;000102009;Platane;Platanus;x hispanica;;245;30;Adulte;NON;48.85093256496494,2.361251167595586
106856;Arbre;Jardin;PARIS 7E ARRDT;Canton 07;;JARDIN DU CHAMP DE MARS ET PELOUSES DE L ECOLE MILITAIRE / AVENUE PIERRE LOTI;A00702007;Platane;Platanus;x hispanica;;158;12;Adulte;NON;48.85548229212893,2.298150447609347
110134;Arbre;Jardin;PARIS 15E ARRDT;;;PARC GEORGES BRASSENS / 2 PLACE JACQUES MARETTE;000D0099;Platane;Platanus;x hispanica;;97;14;;;48.83215989608146,2.298546059699901
133506;Arbre;Jardin;PARIS 15E ARRDT;;;JARDIN D''ALLERAY;00000017;Platane;Platanus;x hispanica;;0;0;;;48.835897148705854,2.304922712879856
115424;Arbre;Jardin;PARIS 13E ARRDT;;;SQUARE GUSTAVE MESUREUR / 105 RUE JEANNE D ARC;000101007;Platane;Platanus;x hispanica;;90;10;;NON;48.833576171101356,2.362546788736425
101276;Arbre;Jardin;PARIS 12E ARRDT;;;PARC DE BERCY;00001070;Platane;Platanus;x hispanica;;330;32;Mature;NON;48.83712563656042,2.380463677572918
128179;Arbre;Jardin;PARIS 17E ARRDT;;;SQUARE ANDRE ULMANN;00000021;Platane;Platanus;x hispanica;;125;9;Adulte;NON;48.88947197530611,2.298929141999025
134209;Arbre;Jardin;PARIS 17E ARRDT;;;SQUARE DES EPINETTES;00000131;Platane;Platanus;x hispanica;;350;22;Adulte;NON;48.894565226968986,2.326405986852398
325122;Arbre;Jardin;PARIS 10E ARRDT;;;SQUARE FREDERIC LEMAITRE / 27 RUE DU FAUBOURG DU TEMPLE;000302003;Platane;Platanus;x hispanica;;114;14;Adulte;NON;48.868885769113184,2.367344374072067
180041;Arbre;Jardin;PARIS 14E ARRDT;;;JARDIN DU GROUPE SCOLAIRE MAURICE D OCAGNE / 7 AVENUE MAURICE D OCAGNE;000104020;Platane;Platanus;x hispanica;;240;21;Adulte;NON;48.82342198293303,2.312131869785356
110038;Arbre;Jardin;PARIS 4E ARRDT;;;VOIE GEORGES POMPIDOU - PORT DE L''HOTEL DE VILLE;10010007;Platane;Platanus;x hispanica;;145;20;Adulte;NON;48.8533885293544,2.35679373254368
116938;Arbre;Jardin;PARIS 20E ARRDT;;;SQUARE DE LA RUE LEON FRAPIE / 7 RUE DE NOISY LE SEC;000206002;Platane;Platanus;x hispanica;;45;0;Adulte;NON;48.87392933685858,2.41286879633585
322652;Arbre;Jardin;PARIS 10E ARRDT;;;SQUARE HENRI CHRISTINE / 151X QUAI DE JEMMAPES;000201003;Platane;Platanus;x hispanica;;150;19;Mature;NON;48.87771214025067,2.3660332841396
110909;Arbre;Jardin;PARIS 16E ARRDT;;;SQUARE ALEXANDRE ET RENE PARODI / 1 PLACE DE LA PORTE MAILLOT;000304005;Platane;Platanus;x hispanica;;236;20;Mature;NON;48.875572955061095,2.279333564344121
110133;Arbre;Jardin;PARIS 15E ARRDT;;;PARC GEORGES BRASSENS / 2 PLACE JACQUES MARETTE;000D0098;Platane;Platanus;x hispanica;;116;16;;;48.8322122857366,2.298463425921458
325120;Arbre;Jardin;PARIS 10E ARRDT;;;SQUARE FREDERIC LEMAITRE / 27 RUE DU FAUBOURG DU TEMPLE;000302001;Platane;Platanus;x hispanica;;157;17;Adulte;NON;48.868820820876124,2.367144029148105
2012051;Arbre;Jardin;PARIS 17E ARRDT;;;SQUARE SAINTE ODILE / 1 BOULEVARD DE LA SOMME;00010008;Platane;Platanus;x hispanica;;280;20;Mature;NON;48.88733663301474,2.293042106523472
138735;Arbre;Jardin;PARIS 18E ARRDT;;;SQUARE CHARLES HERMITE;00000060;Platane;Platanus;x hispanica;;142;18;Adulte;NON;48.900090434972185,2.366317751653185
111437;Arbre;Jardin;PARIS 4E ARRDT;;;VOIE GEORGES POMPIDOU - PORT DES CELESTINS;10030002;Platane;Platanus;x hispanica;;170;20;Adulte;NON;48.852948100617624,2.357939603089612
107597;Arbre;Jardin;PARIS 7E ARRDT;Canton 06;;JARDIN DU CHAMP DE MARS ET PELOUSES DE L ECOLE MILITAIRE / AVENUE ANATOLE FRANCE;A00603002;Platane;Platanus;x hispanica;;92;12;Adulte;NON;48.85789040331481,2.295766089466802
2030476;Arbre;Jardin;PARIS 16E ARRDT;Jeux de Boules;;JARDINS DE LA PORTE DE SAINT CLOUD / 38 AVENUE FERDINAND BUISSON;000106015;Platane;Platanus;x hispanica;;142;17;Adulte;NON;48.83799352510845,2.253184236905893
2012045;Arbre;Jardin;PARIS 17E ARRDT;;;SQUARE SAINTE ODILE / 1 BOULEVARD DE LA SOMME;00010002;Platane;Platanus;x hispanica;;345;22;Mature;NON;48.887445694467935,2.292396487012939
106458;Arbre;Jardin;PARIS 7E ARRDT;Canton 10;;JARDIN DU CHAMP DE MARS ET PELOUSES DE L ECOLE MILITAIRE / AVENUE PIERRE LOTI;A01002020;Platane;Platanus;x hispanica;;40;8;Jeune (arbre);NON;48.85341158951571,2.301374221625263
313940;Arbre;Jardin;PARIS 8E ARRDT;08-02;;PARC MONCEAU;00SO0222;Platane;Platanus;orientalis;;645;31;Mature;OUI;48.87858281562189,2.307559794170295
136991;Arbre;Jardin;PARIS 17E ARRDT;;;SQUARE DE L''AMERIQUE LATINE;00000006;Platane;Platanus;x hispanica;;180;15;Adulte;NON;48.88616875377604,2.289805708552687
116559;Arbre;Jardin;PARIS 14E ARRDT;<Nul>;;SQUARE FERDINAND BRUNOT / 3 RUE DUROUCHOUX;10010002;Platane;Platanus;x hispanica;;270;20;Adulte;NON;48.832331323583794,2.3265768325807272
110099;Arbre;Jardin;PARIS 15E ARRDT;;;PARC GEORGES BRASSENS / 2 PLACE JACQUES MARETTE;000D0064;Platane;Platanus;x hispanica;;45;10;;;48.83198871215082,2.299550249848166
106652;Arbre;Jardin;PARIS 7E ARRDT;Canton 09;;JARDIN DU CHAMP DE MARS ET PELOUSES DE L ECOLE MILITAIRE / AVENUE ANATOLE FRANCE;A00901021;Platane;Platanus;x hispanica;;63;12;Adulte;NON;48.85514678016748,2.300040894898795
110386;Arbre;Jardin;PARIS 15E ARRDT;;;PARC GEORGES BRASSENS / 2 PLACE JACQUES MARETTE;000D0001;Platane;Platanus;x hispanica;;115;12;;;48.83293544434989,2.299414320262513
107552;Arbre;Jardin;PARIS 7E ARRDT;Canton 06;;JARDIN DU CHAMP DE MARS ET PELOUSES DE L ECOLE MILITAIRE / AVENUE ANATOLE FRANCE;A00604013;Platane;Platanus;x hispanica;;35;4;Jeune (arbre);NON;48.8572696919643,2.296568347146669
121813;Arbre;Jardin;PARIS 13E ARRDT;;;SQUARE DE L''ABBE GEORGES HENOCQUE;00000007;Platane;Platanus;x hispanica;;155;20;Adulte;NON;48.82382500823007,2.353193727637802
138699;Arbre;Jardin;PARIS 18E ARRDT;;;SQUARE CHARLES HERMITE;00000020;Platane;Platanus;x hispanica;;215;22;Mature;NON;48.90025060180454,2.367406309315815
123858;Arbre;Jardin;PARIS 4E ARRDT;;;SQUARE DE LA TOUR SAINT JACQUES / 1 BIS RUE SAINT MARTIN;000104009;Platane;Platanus;orientalis;;305;28;Mature;NON;48.85802503337117,2.349287422298962
120815;Arbre;Jardin;PARIS 18E ARRDT;;;SQUARE SUZANNE BUISSON;00000029;Platane;Platanus;x hispanica;;93;7;Jeune (arbre)Adulte;NON;48.88819709196956,2.336950965517561
138687;Arbre;Jardin;PARIS 18E ARRDT;;;SQUARE CHARLES HERMITE;00000008;Platane;Platanus;x hispanica;;206;20;Mature;NON;48.9000223532277,2.366708116719142
106550;Arbre;Jardin;PARIS 7E ARRDT;Canton 12;;JARDIN DU CHAMP DE MARS ET PELOUSES DE L ECOLE MILITAIRE / AVENUE ANATOLE FRANCE;A01201020;Platane;Platanus;x hispanica;;55;12;Jeune (arbre)Adulte;NON;48.853862469787906,2.302042345781851
107428;Arbre;Jardin;PARIS 7E ARRDT;Canton 04;;JARDIN DU CHAMP DE MARS ET PELOUSES DE L ECOLE MILITAIRE / AVENUE PIERRE LOTI;A00401024;Platane;Platanus;x hispanica;;160;14;Adulte;NON;48.856290128965625,2.297043973591232
107320;Arbre;Jardin;PARIS 7E ARRDT;Canton 07;;JARDIN DU CHAMP DE MARS ET PELOUSES DE L ECOLE MILITAIRE / AVENUE PIERRE LOTI;A00701002;Platane;Platanus;x hispanica;;147;12;Adulte;NON;48.85557035882229,2.297773629084384
325141;Arbre;Jardin;PARIS 10E ARRDT;;;SQUARE FREDERIC LEMAITRE / 27 RUE DU FAUBOURG DU TEMPLE;000202002;Platane;Platanus;x hispanica;;23;23;;NON;48.869636685504446,2.3667804710149642
325145;Arbre;Jardin;PARIS 10E ARRDT;;;SQUARE FREDERIC LEMAITRE / 27 RUE DU FAUBOURG DU TEMPLE;000202006;Platane;Platanus;x hispanica;;93;15;Adulte;NON;48.86929030018599,2.367051621924883
110104;Arbre;Jardin;PARIS 15E ARRDT;;;PARC GEORGES BRASSENS / 2 PLACE JACQUES MARETTE;000D0069;Platane;Platanus;x hispanica;;75;12;;;48.83205758921301,2.299219103478311
2025457;Arbre;Jardin;PARIS 12E ARRDT;;;JARDINIERES DU PARKING AUTOCARS DU POPB / 180 QUAI DE BERCY;000101003;Platane;Platanus;x hispanica;;20;5;;NON;48.836975503990885,2.378275857823456
138662;Arbre;Jardin;PARIS 12E ARRDT;;;PARC DE BERCY;00001261;Platane;Platanus;x hispanica;;175;20;Adulte;;48.83855688009296,2.377098103577442
2013658;Arbre;Jardin;BOIS DE VINCENNES;;;PELOUSE DE REUILLY/ROUTE DES FORTIFICATIONS;20370257;Platane;Platanus;x hispanica;;20;5;Adulte;NON;48.82959121388599,2.40688021933094
116190;Arbre;Jardin;PARIS 14E ARRDT;;;SQUARE DE L ASPIRAND DUNAND / 20 RUE SAILLARD;10010009;Platane;Platanus;x hispanica;;200;15;Adulte;NON;48.83202963978021,2.3265979492262012
128165;Arbre;Jardin;PARIS 17E ARRDT;;;SQUARE ANDRE ULMANN;00000007;Platane;Platanus;x hispanica;;135;9;Adulte;NON;48.88927656396496,2.298502941554236
106487;Arbre;Jardin;PARIS 7E ARRDT;Canton 10;;JARDIN DU CHAMP DE MARS ET PELOUSES DE L ECOLE MILITAIRE / AVENUE PIERRE LOTI;A01001009;Platane;Platanus;x hispanica;;150;12;Adulte;NON;48.853981091178326,2.300644632606235
113147;Arbre;Jardin;PARIS 14E ARRDT;Lisière Jourdan;;PARC MONTSOURIS / 28 BOULEVARD JOURDAN;0208C1005;Platane;Platanus;x hispanica;;200;18;Adulte;NON;48.8202979163163,2.339855655916084
107944;Arbre;Jardin;PARIS 7E ARRDT;Canton 01;;JARDIN DU CHAMP DE MARS ET PELOUSES DE L ECOLE MILITAIRE / ALLEE LEON BOURGEOIS;A00102010;Platane;Platanus;x hispanica;;164;22;Adulte;NON;48.85705957621021,2.292855995481332
107482;Arbre;Jardin;PARIS 7E ARRDT;Canton 09;;JARDIN DU CHAMP DE MARS ET PELOUSES DE L ECOLE MILITAIRE / AVENUE ANATOLE FRANCE;A00901002;Platane;Platanus;x hispanica;;46;8;Jeune (arbre)Adulte;NON;48.856238995386796,2.29878745542016
127543;Arbre;Jardin;PARIS 19E ARRDT;;;SQUARE DE LA BUTTE DU CHAPEAU ROUGE / 11 BOULEVARD D ALGERIE;00000033;Platane;Platanus;x hispanica;;170;0;;;48.88118369122658,2.398690464985924
116376;Arbre;Jardin;PARIS 20E ARRDT;;;SQUARE EMMANUEL FLEURY / 40 RUE LE VAU;00000074;Platane;Platanus;x hispanica;;90;0;Adulte;NON;48.87088495462411,2.41145215504933
100678;Arbre;Jardin;PARIS 12E ARRDT;;;PARC DE BERCY;00000230;Platane;Platanus;x hispanica;;285;20;Mature;NON;48.83352154655744,2.385091098900754
2010571;Arbre;Jardin;BOIS DE VINCENNES;;;PARC FLORAL DE PARIS / ROUTE DE LA PYRAMIDE;00020011;Platane;Platanus;x hispanica;;150;25;Adulte;NON;48.83913125924678,2.438652209680395
100429;Arbre;Jardin;PARIS 12E ARRDT;;;PARC DE BERCY;00000712;Platane;Platanus;x hispanica;;115;13;;;48.83571737138004,2.3823689619229
304492;Arbre;Jardin;PARIS 8E ARRDT;;;PARC MONCEAU;00SO0696;Platane;Platanus;x hispanica;;140;20;Adulte;;48.87820658087877,2.309773303162536
2010882;Arbre;Jardin;BOIS DE VINCENNES;;;PARC FLORAL DE PARIS / ROUTE DE LA PYRAMIDE;00050001;Platane;Platanus;x hispanica;;245;20;Adulte;NON;48.84020095962927,2.4389101078582422
106725;Arbre;Jardin;PARIS 7E ARRDT;Canton 09;;JARDIN DU CHAMP DE MARS ET PELOUSES DE L ECOLE MILITAIRE / AVENUE DU GENERAL MARGUERITE;A00902009;Platane;Platanus;x hispanica;;43;7;Jeune (arbre)Adulte;NON;48.85559594135062,2.299714208488646
107427;Arbre;Jardin;PARIS 7E ARRDT;Canton 04;;JARDIN DU CHAMP DE MARS ET PELOUSES DE L ECOLE MILITAIRE / AVENUE PIERRE LOTI;A00402030;Platane;Platanus;x hispanica;;173;14;Adulte;NON;48.85584684822504,2.2970368836701383
106491;Arbre;Jardin;PARIS 7E ARRDT;Canton 10;;JARDIN DU CHAMP DE MARS ET PELOUSES DE L ECOLE MILITAIRE / AVENUE PIERRE LOTI;A01001013;Platane;Platanus;x hispanica;;30;8;Jeune (arbre);NON;48.85379567693971,2.300941241179907
113148;Arbre;Jardin;PARIS 14E ARRDT;Lisière Jourdan;;PARC MONTSOURIS / 28 BOULEVARD JOURDAN;0208C2005;Platane;Platanus;x hispanica;;185;18;Adulte;NON;48.82035322432237,2.339771860941266
119492;Arbre;Jardin;PARIS 18E ARRDT;;;SQUARE DE JESSAINT / 36 BOULEVARD DE LA CHAPELLE;000103003;Platane;Platanus;x hispanica;;230;26;Mature;NON;48.88474294180953,2.35875523536507
2007698;Arbre;Jardin;PARIS 18E ARRDT;;;JARDIN DU 122 RUE DES POISSONNIERS / 122 RUE DES POISSONNIERS;000102007;Platane;Platanus;x hispanica;;180;15;Adulte;NON;48.89488375833009,2.35334816435681
120404;Arbre;Jardin;PARIS 18E ARRDT;;;SQUARE JOEL LE TAC / 1 PLACE CONSTANTIN PECQUEUR;000103001;Platane;Platanus;x hispanica;;84;17;Jeune (arbre)Adulte;NON;48.88929145226255,2.338026438234767
106837;Arbre;Jardin;PARIS 7E ARRDT;Canton 07;;JARDIN DU CHAMP DE MARS ET PELOUSES DE L ECOLE MILITAIRE / AVENUE PIERRE LOTI;A00701024;Platane;Platanus;x hispanica;;51;10;Jeune (arbre)Adulte;NON;48.8546068481031,2.299673081652041
138755;Arbre;Jardin;PARIS 18E ARRDT;;;SQUARE CHARLES HERMITE;00000080;Platane;Platanus;x hispanica;;117;17;Adulte;NON;48.899973148805095,2.365740570326331
106841;Arbre;Jardin;PARIS 7E ARRDT;Canton 07;;JARDIN DU CHAMP DE MARS ET PELOUSES DE L ECOLE MILITAIRE / AVENUE PIERRE LOTI;A00701020;Platane;Platanus;x hispanica;;45;10;Jeune (arbre)Adulte;NON;48.85479311254731,2.299383989263509
132325;Arbre;Jardin;PARIS 5E ARRDT;;;JARDIN TINO ROSSI;00000096;Platane;Platanus;x hispanica;;154;17;;;48.847934503131505,2.3599360997878103
137153;Arbre;Jardin;PARIS 17E ARRDT;;;PROMENADE BERNARD LAFAY C3;30010007;Platane;Platanus;x hispanica;;190;18;Adulte;NON;48.8901298165156,2.298852311877134
121541;Arbre;Jardin;PARIS 14E ARRDT;;;SQUARE DU SERMENT DE KOUFRA;00000080;Platane;Platanus;x hispanica;;175;6;Adulte;NON;48.821179987744216,2.32330345525342
120814;Arbre;Jardin;PARIS 18E ARRDT;;;SQUARE SUZANNE BUISSON;00000028;Platane;Platanus;x hispanica;;76;7;Jeune (arbre)Adulte;NON;48.88814742062718,2.336921458941552
225183;Arbre;Jardin;PARIS 4E ARRDT;;;PARC DES RIVES DE SEINE / PORT DES CELESTINS;000103013;Platane;Platanus;x hispanica;;260;25;Adulte;NON;48.85217952030995,2.360554175224469
118711;Arbre;Jardin;PARIS 12E ARRDT;;;SQUARE ALBERT TOURNAIRE / 2 PLACE MAZAS;000101007;Platane;Platanus;x hispanica;;47;10;;NON;48.84516281650626,2.367683923851291
116474;Arbre;Jardin;PARIS 20E ARRDT;;;SQUARE EMMANUEL FLEURY / 40 RUE LE VAU;00000105;Platane;Platanus;x hispanica;;195;0;Adulte;NON;48.87056440913458,2.411855547597363
116510;Arbre;Jardin;PARIS 20E ARRDT;;;SQUARE EMMANUEL FLEURY / 40 RUE LE VAU;00000141;Platane;Platanus;x hispanica;;195;0;Adulte;NON;48.86954246539294,2.411626306975561
106629;Arbre;Jardin;PARIS 7E ARRDT;Canton 09;;JARDIN DU CHAMP DE MARS ET PELOUSES DE L ECOLE MILITAIRE / AVENUE ANATOLE FRANCE;A00902015;Platane;Platanus;x hispanica;;39;6;Jeune (arbre)Adulte;NON;48.85543336888797,2.299433780768452
107548;Arbre;Jardin;PARIS 7E ARRDT;Canton 06;;JARDIN DU CHAMP DE MARS ET PELOUSES DE L ECOLE MILITAIRE / AVENUE ANATOLE FRANCE;A00604009;Platane;Platanus;x hispanica;;30;8;Jeune (arbre);NON;48.857478104268424,2.296247908611338
106743;Arbre;Jardin;PARIS 7E ARRDT;Canton 09;;JARDIN DU CHAMP DE MARS ET PELOUSES DE L ECOLE MILITAIRE / AVENUE DU GENERAL MARGUERITE;A00901010;Platane;Platanus;x hispanica;;60;11;Jeune (arbre)Adulte;NON;48.855616812805735,2.299580076263566
123196;Arbre;Jardin;PARIS 7E ARRDT;;;PROMENADE D AUSTRALIE / 67 QUAI BRANLY;000101010;Platane;Platanus;x hispanica;;275;22;Adulte;NON;48.86010826203286,2.294456905501874
306340;Arbre;Jardin;PARIS 8E ARRDT;;;PARC MONCEAU;00NE0626;Platane;Platanus;x hispanica;;370;23;Mature;;48.879902538019685,2.309665058710266
325121;Arbre;Jardin;PARIS 10E ARRDT;;;SQUARE FREDERIC LEMAITRE / 27 RUE DU FAUBOURG DU TEMPLE;000302002;Platane;Platanus;x hispanica;;170;17;Mature;NON;48.86882553956535,2.36725746229925
109110;Arbre;Jardin;PARIS 13E ARRDT;;;PARC KELLERMANN;00000086;Platane;Platanus;x hispanica;;260;20;;;48.81843500925405,2.356011556524376
107468;Arbre;Jardin;PARIS 7E ARRDT;Canton 04;;JARDIN DU CHAMP DE MARS ET PELOUSES DE L ECOLE MILITAIRE / AVENUE PIERRE LOTI;A00402017;Platane;Platanus;x hispanica;;64;13;Adulte;NON;48.85660934907803,2.29638639618732
132542;Arbre;Jardin;PARIS 5E ARRDT;;;SQUARE MICHEL FOUCAULT / 43 Q RUE DES ECOLES;000101001;Platane;Platanus;orientalis;;395;24;Mature;OUI;48.84935115947165,2.34503292776574
124901;Arbre;Jardin;PARIS 11E ARRDT;;;SQUARE MAURICE GARDETTE / 8 RUE GENERAL BLAISE;000202008;Platane;Platanus;x hispanica;;340;35;;NON;48.861707198169405,2.379599669038546
138669;Arbre;Jardin;PARIS 12E ARRDT;;;PARC DE BERCY;00001268;Platane;Platanus;x hispanica;;110;20;Adulte;;48.838795641980454,2.377047809245702
322827;Arbre;Jardin;PARIS 10E ARRDT;;;SQUARE DES RECOLLETS;00000010;Platane;Platanus;x hispanica;;330;22;Mature;NON;48.87306291898031,2.363827362262964
106463;Arbre;Jardin;PARIS 7E ARRDT;Canton 10;;JARDIN DU CHAMP DE MARS ET PELOUSES DE L ECOLE MILITAIRE / AVENUE PIERRE LOTI;A01002015;Platane;Platanus;x hispanica;;30;5;Jeune (arbre);NON;48.85364720424069,2.301010926422949
2030485;Arbre;Jardin;PARIS 16E ARRDT;Jeux de Boules;;JARDINS DE LA PORTE DE SAINT CLOUD / 38 AVENUE FERDINAND BUISSON;000106024;Platane;Platanus;x hispanica;;195;20;Adulte;NON;48.837818245764815,2.253514200793459
111804;Arbre;Jardin;PARIS 14E ARRDT;Volcan / Puits;;PARC MONTSOURIS / 28 BOULEVARD JOURDAN;0311A3002;Platane;Platanus;x hispanica;;308;26;Mature;NON;48.82226994233219,2.33663919265489
2010562;Arbre;Jardin;BOIS DE VINCENNES;;;PARC FLORAL DE PARIS / ROUTE DE LA PYRAMIDE;00010021;Platane;Platanus;x hispanica;;70;18;Jeune (arbre)Adulte;NON;48.839552247716334,2.439215772804695
125099;Arbre;Jardin;PARIS 16E ARRDT;;;SQUARE DES APPRENTIS ORPHELINS D''AUTEUIL;00000004;Platane;Platanus;x hispanica;;267;18;Mature;NON;48.851190915427466,2.271885470591893
106502;Arbre;Jardin;PARIS 7E ARRDT;Canton 10;;JARDIN DU CHAMP DE MARS ET PELOUSES DE L ECOLE MILITAIRE / AVENUE PIERRE LOTI;A01001024;Platane;Platanus;x hispanica;;200;12;Adulte;NON;48.85327318761051,2.301751774580313
110403;Arbre;Jardin;PARIS 14E ARRDT;Pelouse Ravin;;PARC MONTSOURIS / 28 BOULEVARD JOURDAN;052902012;Platane;Platanus;x hispanica;;404;32;Mature;NON;48.82080004586195,2.340024369681513
2014678;Arbre;Jardin;BOIS DE VINCENNES;;;PARC FLORAL DE PARIS / ROUTE DE LA PYRAMIDE;00240145;Platane;Platanus;x hispanica;;0;0;;NON;48.8363768011317,2.448124165502763
107185;Arbre;Jardin;PARIS 7E ARRDT;Canton 03;;JARDIN DU CHAMP DE MARS ET PELOUSES DE L ECOLE MILITAIRE / ALLEE PAUL DESCHANEL;A00302013;Platane;Platanus;x hispanica;;68;9;Jeune (arbre)Adulte;NON;48.85905310861735,2.296575154210371
139502;Arbre;Jardin;PARIS 17E ARRDT;;;PROMENADE BERNARD LAFAY C2;20020098;Platane;Platanus;x hispanica;;190;17;Adulte;NON;48.89114848345815,2.298434228319521
110517;Arbre;Jardin;PARIS 15E ARRDT;;;PARC GEORGES BRASSENS / 2 PLACE JACQUES MARETTE;000D0044;Platane;Platanus;x hispanica;;215;20;;;48.83227770401124,2.299154895263614
102063;Arbre;Jardin;PARIS 19E ARRDT;;;PARC DES BUTTES CHAUMONT;G0310010;Platane;Platanus;x hispanica;;527;31;Mature;NON;48.882631355294976,2.384299639544225
179848;Arbre;Jardin;PARIS 12E ARRDT;;;TALUS BOULEVARD PONIATOWSKI LE BASTION / 2 V BOULEVARD PONIATOWSKI;000102006;Platane;Platanus;n. sp.;;160;15;Adulte;NON;48.828424325331206,2.389620047788081
106630;Arbre;Jardin;PARIS 7E ARRDT;Canton 09;;JARDIN DU CHAMP DE MARS ET PELOUSES DE L ECOLE MILITAIRE / AVENUE ANATOLE FRANCE;A00902014;Platane;Platanus;x hispanica;;44;6;Jeune (arbre)Adulte;NON;48.85548215191769,2.29935576610084
107378;Arbre;Jardin;PARIS 7E ARRDT;Canton 04;;JARDIN DU CHAMP DE MARS ET PELOUSES DE L ECOLE MILITAIRE / AVENUE PIERRE LOTI;A00401028;Platane;Platanus;x hispanica;;50;9;Jeune (arbre)Adulte;NON;48.85604179068023,2.2971344967036
108085;Arbre;Jardin;PARIS 7E ARRDT;Canton 01 / SETE;;JARDIN DU CHAMP DE MARS ET PELOUSES DE L ECOLE MILITAIRE / SETE;P00102002;Platane;Platanus;x hispanica;;350;25;Mature;NON;48.85807591318735,2.293156136229263
132241;Arbre;Jardin;PARIS 5E ARRDT;Brigade Fluviale;;JARDIN TINO ROSSI / 2B QUAI SAINT BERNARD;000102006;Platane;Platanus;x hispanica;;263;15;;NON;48.84525301027892,2.363911975507331
2028199;Arbre;Jardin;PARIS 16E ARRDT;;;SQUARE ALEXANDRE ET RENE PARODI / 1 PLACE DE LA PORTE MAILLOT;000101010;Platane;Platanus;x hispanica;;185;18;Adulte;NON;48.877149732307174,2.281151843823489
106839;Arbre;Jardin;PARIS 7E ARRDT;Canton 07;;JARDIN DU CHAMP DE MARS ET PELOUSES DE L ECOLE MILITAIRE / AVENUE PIERRE LOTI;A00701022;Platane;Platanus;x hispanica;;192;12;Adulte;NON;48.85469829436875,2.299525505510423
2025813;Arbre;Jardin;PARIS 1ER ARRDT;Le Parvis - Passage de la Canopée;;JARDIN NELSON MANDELA / 32 RUE BERGER;G00101005;Platane;Platanus;x hispanica;;105;10;Jeune (arbre)Adulte;NON;48.86188344566024,2.346061709228634
124198;Arbre;Jardin;PARIS 20E ARRDT;;;JARDIN D IMMEUBLES DE LA PORTE DE BAGNOLET / 14 RUE JOSEPH PYTHON;000103001;Platane;Platanus;x hispanica;;300;22;Mature;NON;48.86437284414597,2.410623731187277
132342;Arbre;Jardin;PARIS 5E ARRDT;;;JARDIN TINO ROSSI;00000113;Platane;Platanus;x hispanica;;293;15;;;48.848620838426356,2.3589802377287192
128166;Arbre;Jardin;PARIS 17E ARRDT;;;SQUARE ANDRE ULMANN;00000008;Platane;Platanus;x hispanica;;157;9;Adulte;NON;48.88932981182288,2.298479666991293
109112;Arbre;Jardin;PARIS 13E ARRDT;;;PARC KELLERMANN;00000088;Platane;Platanus;x hispanica;;170;20;;;48.818281666587346,2.356098747973407
106493;Arbre;Jardin;PARIS 7E ARRDT;Canton 10;;JARDIN DU CHAMP DE MARS ET PELOUSES DE L ECOLE MILITAIRE / AVENUE PIERRE LOTI;A01001015;Platane;Platanus;x hispanica;;250;12;Mature;NON;48.85369792261018,2.301083895160782
