IDBASE;TYPE EMPLACEMENT;DOMANIALITE;ARRONDISSEMENT;COMPLEMENT ADRESSE;NUMERO;LIEU / ADRESSE;IDEMPLACEMENT;LIBELLE FRANCAIS;GENRE;ESPECE;VARIETE OUCULTIVAR;CIRCONFERENCE (cm);HAUTEUR (m);STADE DE DEVELOPPEMENT;REMARQUABLE;geo_point_2d
107587;Arbre;Jardin;PARIS 7E ARRDT;Canton 06;;JARDIN DU CHAMP DE MARS ET PELOUSES DE L ECOLE MILITAIRE / AVENUE ANATOLE FRANCE;A00603012;Platane;Platanus;x hispanica;;85;12;Adulte;NON;48.857321901942086,2.2966452491105063
123201;Arbre;Jardin;PARIS 7E ARRDT;;;PROMENADE D AUSTRALIE / 67 QUAI BRANLY;000101005;Platane;Platanus;x hispanica;;250;22;Adulte;NON;48.86039508776448,2.294871065291689
2016180;Arbre;Jardin;BOIS DE VINCENNES;;;PARC FLORAL DE PARIS / ROUTE DE LA PYRAMIDE;00010053;Platane;Platanus;x hispanica;;0;0;;NON;48.839542448229395,2.438913490820806
106479;Arbre;Jardin;PARIS 7E ARRDT;Canton 10;;JARDIN DU CHAMP DE MARS ET PELOUSES DE L ECOLE MILITAIRE / AVENUE PIERRE LOTI;A01001001;Platane;Platanus;x hispanica;;147;12;Adulte;NON;48.85435879324998,2.300059916535175
139386;Arbre;Jardin;PARIS 15E ARRDT;;;SQUARE DE LA PLACE DUPLEIX / 1 PLACE DUPLEIX;000205006;Platane;Platanus;x hispanica;;0;0;;NON;48.85124689318013,2.295528571055339
138684;Arbre;Jardin;PARIS 18E ARRDT;;;SQUARE CHARLES HERMITE;00000005;Platane;Platanus;x hispanica;;200;22;Mature;NON;48.90005308189055,2.366476683623689
128221;Arbre;Jardin;PARIS 17E ARRDT;;;SQUARE ANDRE ULMANN;00000063;Platane;Platanus;x hispanica;;141;9;Adulte;NON;48.88970850171132,2.2987775616195743
138686;Arbre;Jardin;PARIS 18E ARRDT;;;SQUARE CHARLES HERMITE;00000007;Platane;Platanus;x hispanica;;200;20;Mature;NON;48.900071897924825,2.366567246961026
138688;Arbre;Jardin;PARIS 18E ARRDT;;;SQUARE CHARLES HERMITE;00000009;Platane;Platanus;x hispanica;;214;21;Mature;NON;48.90011946634753,2.366775425205187
325152;Arbre;Jardin;PARIS 10E ARRDT;;;SQUARE FREDERIC LEMAITRE / 27 RUE DU FAUBOURG DU TEMPLE;000102012;Platane;Platanus;x hispanica;;63;11;Jeune (arbre)Adulte;NON;48.8689754026046,2.367006875521679
106526;Arbre;Jardin;PARIS 7E ARRDT;Canton 12;;JARDIN DU CHAMP DE MARS ET PELOUSES DE L ECOLE MILITAIRE / AVENUE ANATOLE FRANCE;A01202005;Platane;Platanus;x hispanica;;175;10;Adulte;NON;48.854518426662935,2.30086402730987
2019353;Arbre;Jardin;PARIS 20E ARRDT;;;RUE ALBERT WILLEMETZ;000101005;Platane;Platanus;x hispanica;;40;5;Jeune (arbre)Adulte;NON;48.847622544070646,2.415336383320614
2019612;Arbre;Jardin;BOIS DE VINCENNES;;;ECOLE DU BREUIL / ROUTE DE LA FERME;50020008;Platane;Platanus;x hispanica;;450;28;Adulte;NON;48.82352135365275,2.458742805671385
107313;Arbre;Jardin;PARIS 7E ARRDT;Canton 07;;JARDIN DU CHAMP DE MARS ET PELOUSES DE L ECOLE MILITAIRE / AVENUE PIERRE LOTI;A00702006;Platane;Platanus;x hispanica;;40;10;Jeune (arbre)Adulte;NON;48.8555391513835,2.2980618420670362
114166;Arbre;Jardin;PARIS 16E ARRDT;PELOUSE 08 - 34 à 44;;JARDIN DE L AVENUE FOCH / 10 AVENUE FOCH;000210037 / 16-29;Platane;Platanus;x hispanica;;445;21;Mature;OUI;48.873134001274366,2.286795504277803
132238;Arbre;Jardin;PARIS 5E ARRDT;Brigade Fluviale;;JARDIN TINO ROSSI / 2B QUAI SAINT BERNARD;000102003;Platane;Platanus;x hispanica;;254;15;;NON;48.845119553803684,2.364119960978121
305870;Arbre;Jardin;PARIS 8E ARRDT;;;PARC MONCEAU;00SO0272;Platane;Platanus;orientalis;;265;30;Adulte;;48.87873424757064,2.309405005250409
106867;Arbre;Jardin;PARIS 7E ARRDT;Canton 07;;JARDIN DU CHAMP DE MARS ET PELOUSES DE L ECOLE MILITAIRE / AVENUE PIERRE LOTI;A00702018;Platane;Platanus;x hispanica;;83;12;Adulte;NON;48.85483407044562,2.299159964995871
113604;Arbre;Jardin;PARIS 15E ARRDT;;;SQUARE DE LA PLACE ADOLPHE CHERIOUX / 260 RUE DE VAUGIRARD;000104007;Platane;Platanus;x hispanica;;75;10;Jeune (arbre)Adulte;NON;48.84004781724723,2.300585454172792
107560;Arbre;Jardin;PARIS 7E ARRDT;Canton 06;;JARDIN DU CHAMP DE MARS ET PELOUSES DE L ECOLE MILITAIRE / AVENUE ANATOLE FRANCE;A00604021;Platane;Platanus;x hispanica;;30;6;Jeune (arbre);NON;48.856809626823285,2.29728939571788
106466;Arbre;Jardin;PARIS 7E ARRDT;Canton 10;;JARDIN DU CHAMP DE MARS ET PELOUSES DE L ECOLE MILITAIRE / AVENUE PIERRE LOTI;A01002012;Platane;Platanus;x hispanica;;75;10;Jeune (arbre)Adulte;NON;48.8537918860062,2.300788065089296
109172;Arbre;Jardin;PARIS 13E ARRDT;;;PARC KELLERMANN;00000148;Platane;Platanus;x hispanica;;130;20;;;48.817655502991904,2.354983174426835
128224;Arbre;Jardin;PARIS 17E ARRDT;;;SQUARE ANDRE ULMANN;00000066;Platane;Platanus;x hispanica;;127;9;Adulte;NON;48.889670311240245,2.298598599239126
2007711;Arbre;Jardin;PARIS 18E ARRDT;;;JARDIN DU 122 RUE DES POISSONNIERS / 122 RUE DES POISSONNIERS;000102006;Platane;Platanus;x hispanica;;135;15;Adulte;NON;48.894876440263694,2.353450209244976
266555;Arbre;Jardin;PARIS 17E ARRDT;;;TERRAIN DE BOULES / 29 BOULEVARD DE REIMS;000101002;Platane;Platanus;x hispanica;;42;7;Jeune (arbre);NON;48.88874636326667,2.297240595721869
128212;Arbre;Jardin;PARIS 17E ARRDT;;;SQUARE ANDRE ULMANN;00000054;Platane;Platanus;x hispanica;;117;9;Adulte;NON;48.88987043115654,2.298918212677331
323616;Arbre;Jardin;PARIS 8E ARRDT;;;SQUARE MARCEL PAGNOL / 12 RUE DE LABORDE;00000006;Platane;Platanus;x hispanica;;120;18;Adulte;NON;48.875787968702255,2.320495137903245
135280;Arbre;Jardin;PARIS 17E ARRDT;;;SQUARE DES BATIGNOLLES;00000090;Platane;Platanus;x hispanica;;280;20;Mature;NON;48.88694153622169,2.316327418269875
139982;Arbre;Jardin;PARIS 19E ARRDT;;;SQUARE MARCEL MOULOUDJI;00000031;Platane;Platanus;x hispanica;;86;0;;;48.88559805333027,2.377219336295104
106862;Arbre;Jardin;PARIS 7E ARRDT;Canton 07;;JARDIN DU CHAMP DE MARS ET PELOUSES DE L ECOLE MILITAIRE / AVENUE PIERRE LOTI;A00702013;Platane;Platanus;x hispanica;;101;12;Adulte;NON;48.85513709588511,2.298691085428651
306339;Arbre;Jardin;PARIS 8E ARRDT;;;PARC MONCEAU;00NE0625;Platane;Platanus;x hispanica;;325;25;Mature;;48.87990940398626,2.309539439518728
